Frequency Range,2024_07_19___10-07-05.csv,2024_07_13___17-22-50.csv,2024_06_28___02-06-54.csv,2024_07_06___22-21-11.csv,2024_07_10___05-50-13.csv,2024_06_25___17-36-22.csv,2024_06_27___10-22-16.csv,2024_06_26___09-52-57.csv,2024_06_28___17-58-44.csv,2024_07_17___17-43-14.csv,2024_06_30___08-44-14.csv,2024_07_10___09-37-35.csv
From 1687.50 Hz to 3750.00 Hz,-21.619888009553584,-19.71695855310482,-18.1601982938098,-15.024953874441,-10.980227702035686,-19.664862144356782,-18.201676155669787,-18.664449720367436,-17.85162329259606,-11.273932002237668,-17.368415067818923,-11.276607527828086
From 6000.00 Hz to 6937.50 Hz,-30.43383649662115,-29.131735375287466,-28.566516625648703,-24.616733264198814,-22.298437679885467,-27.24321853378729,-28.20902448235875,-27.19260798571697,-28.396891803074638,-22.11314185084624,-27.68287908693857,-23.185935815454272
From 9187.50 Hz to 10875.00 Hz,-31.269406498480013,-31.017897171273663,-27.745639043831478,-23.08408137345961,-20.410619181569157,-27.192228790193354,-27.389113769740597,-27.150439305928366,-27.739461568205478,-17.2381409366564,-27.13912992952499,-21.50473115965538
From 13125.00 Hz to 14812.50 Hz,-35.80656293683915,-32.54194914007813,-28.99367345981718,-24.90523388424505,-20.917423878558335,-27.90026889303659,-28.4245815404393,-27.764241684444194,-30.049899901301508,-24.375444756043045,-28.138765117855975,-24.163660174125983
From 17062.50 Hz to 18937.50 Hz,-32.39981503061309,-31.840673663972925,-27.25632950888482,-22.78259125445378,-20.07604341260585,-26.76035536437112,-26.997180164942648,-26.474079431837467,-28.79255505032473,-21.46407949566748,-28.511276559345838,-20.99710013224061
From 21187.50 Hz to 22687.50 Hz,-44.6245702126971,-44.8954513633465,-41.66670736733834,-36.900400393902125,-35.278004265754554,-40.31577965414547,-41.32132013557894,-41.009786867453016,-42.06644491515476,-36.32649847458035,-41.84148643244387,-36.0281448925641
From 24937.50 Hz to 26812.50 Hz,-46.4616970033613,-46.03237976064758,-43.28209024852025,-38.44058965020478,-36.91914103170553,-42.05978936297152,-42.62729156988184,-42.30936891242505,-43.34680291130827,-37.5184287743764,-43.26813797303941,-37.56258821508673
From 29062.50 Hz to 30937.50 Hz,-35.958986191849995,-35.470995468392594,-30.743792593141173,-26.356955750472608,-23.85674043519396,-30.24482602099603,-30.45846707605389,-29.992315174832235,-32.40670954645692,-24.8525051595414,-32.06442716705263,-24.68923660666897
From 33187.50 Hz to 34875.00 Hz,-41.717517844059884,-38.91412756216758,-35.10515992580454,-31.16346501577601,-27.33253554232045,-34.24440587767685,-34.78069280598305,-34.12132755247235,-36.26191718669152,-30.68861218102881,-34.76370578516363,-30.556931139443286
From 37125.00 Hz to 38812.50 Hz,-40.79531499081611,-39.732754131537575,-37.07075229278392,-32.45971029248381,-29.54040563452852,-36.515265856978964,-36.7141268253453,-36.47995889708966,-36.94561585697877,-27.204477060934295,-36.46937537472603,-30.83623629317638
From 41062.50 Hz to 41812.50 Hz,-44.87885365509389,-43.639423759282025,-42.92574552492286,-38.58614486448808,-36.64192155012801,-41.21265998738445,-42.68624438417163,-41.25894119978466,-42.15608175944313,-37.33547637091495,-42.16242064892074,-37.26537623090229
From 44062.50 Hz to 45750.00 Hz,-40.47161226403223,-41.21411399378116,-39.28635073152467,-36.12867452184746,-31.405688825238304,-40.146526727758136,-39.261543204948595,-39.39739044439498,-38.811197080836095,-30.88121179591527,-38.453506896088015,-32.252744803602326
